STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,CODE,TVA,Start of Week 1 Stock,Week 1 Sales,End of Week 1 Stock,Start of Week 2 Stock,Week 2 Sales,End of Week 2 Stock,Start of Week 3 Stock,Week 3 Sales,End of Week 3 Stock,Start of Week 4 Stock,Week 4 Sales,End of Week 4 Stock,Selling Speed,Reorder Point,Shortage
AMM ENREGISTREE,Non Commercialisé,ACULAR,"0,005",COLLYRE,FLACON DE 5 ML,PP,KETOROLAC TROMETHAMINE,OPHTALMOLOGIE,AFRIC PHAR,"36,30","22,70","21,64",1,,138,35,103,103,17,86,133,20,113,113,31,82,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,ACUVAIL,"0,0045",COLLYRE EN SOLUTION,"BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML",PP,KETOROLAC TROMETHAMINE,OPHTALMOLOGIE,AFRIC PHAR,"127,50","79,70","75,90",2,,174,49,125,125,19,106,156,9,147,147,2,145,Slow,20,False
AMM ENREGISTREE,Non Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 100 ML,GN,ISOFLURANE,ANESTHESIOLOGIE,AFRIC PHAR,"338,00","225,00","214,53",3,,130,22,108,108,33,75,75,31,44,44,40,4,Fast,40,True
AMM ENREGISTREE,Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 250 ML,GN,ISOFLURANE,ANESTHESIOLOGIE,AFRIC PHAR,"756,00","502,00","478,86",4,,170,39,131,131,15,116,116,48,68,68,5,63,Medium,30,False
AMM ENREGISTREE,Commercialisé,ALGIK,500 MG / 50 MG,COMPRIME,BOITE DE 16,GN,PARACETAMOL // CAFEINE,ANTALGIQUES,AFRIC PHAR,"12,40","7,70","7,37",5,,146,12,134,134,11,123,123,10,113,113,14,99,Slow,20,False
AMM ENREGISTREE,Commercialisé,ALGIK,500 MG / 50 MG,SACHET,BOITE DE 20,GN,PARACETAMOL // CAFEINE,ANTALGIQUES,AFRIC PHAR,"20,40","12,80","12,16",6,,61,25,36,36,31,5,5,0,5,35,1,34,Slow,20,False
AMM ENREGISTREE,Commercialisé,ALPHAGAN,"0,002",COLLYRE,FLACON DE 5 ML,PP,BRIMONIDINE (TARTRATE),OPHTALMOLOGIE,AFRIC PHAR,"85,50","53,40","50,88",7,,60,11,49,49,3,46,86,13,73,73,9,64,Very Slow,10,False
AMM ENREGISTREE,Commercialisé / AO,AMOXICILLINE LLORENTE,250 MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,"22,80","14,30","13,60",8,,92,41,51,78,28,50,50,9,41,41,5,36,Medium,30,False
AMM ENREGISTREE,Commercialisé / AO,AMOXICILLINE LLORENTE,500 MG,GELULE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,"32,30","20,20","19,24",9,,162,20,142,142,32,110,110,1,109,109,9,100,Slow,20,False
AMM ENREGISTREE,Commercialisé / AO,AMOXICILLINE LLORENTE,500 MG,GELULE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,"56,90","35,50","33,86",10,,66,24,42,42,33,9,9,0,9,33,2,31,Slow,20,False
